title,brand,price,price_usd,currency,platform,ram_gb,storage_gb,category,search_query,url,scraped_date,price_range
"Hp Laptop 15-FC0075k - Ecran FHD 15,6""- Ryzen5-7520u - 8Gb LPDDR 5 + 512 Go SSD - Wifi 6 - Windows 11h6 - Noir Ébène - Neuf - Garantie 1an",HP,5799.0,579.9,MAD,jumia,8.0,512.0,electronics,laptop,https://www.jumia.ma/hp-laptop-15-fc0075k-ecran-fhd-156-ryzen5-7520u-8gb-lpddr-5-512-go-ssd-wifi-6-windows-11h6-noir-ebene-neuf-garantie-1an-66563294.html,2026-05-13,bas_de_gamme
Lenovo ThinkPad X13 Yoga Gen 1 Convertible Laptop Core™ i5-10210U / 16GO -512GO SSD,Lenovo,4099.0,409.9,MAD,jumia,16.0,512.0,electronics,laptop,https://www.jumia.ma/lenovo-thinkpad-x13-yoga-gen-1-convertible-laptop-coretm-i5-10210u-16go-512go-ssd-66138811.html,2026-05-13,bas_de_gamme
2025 MSI Stealth 18 HX AI Gaming Laptop 18 Inch 4K 120Hz MiniLED Screen Netbook Intel Ultra 9-275HX 64GB 2TB RTX5090 Notebook PC,MSI,39218.93,3921.89,MAD,aliexpress,64.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005011627628108.html,2026-05-13,haut_de_gamme
"GPD Micro PC 2 Beastly Handheld Mini Laptop: 7 Blazing Touch Screen, 16GB RAM, 512GB SSD, N300 CPU, Windows 11 Pocket-Sized",GPD,9521.78,952.18,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005012175016132.html,2026-05-13,milieu_de_gamme
FIREBAT 16Pro Gaming Laptop 16Inch AMD Ryzen 7 H 255 NVIDIA GeForce RTX 5060 for Gamer Laptops,Other,13005.25,1300.53,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005010241168287.html,2026-05-13,milieu_de_gamme
GPD Pocket 3 Mini Laptop 8Inch Intel Gold 7505 Notebook 16GB 512GB SSD Modular Full-featured Handheld Windows11 Computer,GPD,11856.57,1185.66,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005012166233832.html,2026-05-13,milieu_de_gamme
2026 GPD Pocket4 Latest AMD AI 9 HX 370/8840U 64GB 2TB NVMe 8.8 Inch 144Hz 2in1 Laptop Tablet Palm Size MiniPC,GPD,18361.21,1836.12,MAD,aliexpress,64.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005012166385261.html,2026-05-13,haut_de_gamme
"2026 Xiaomi Laptop REDMI Book 16 2026 Intel Core Ultra 5 125H ARC Graphics 16G/32G 1TB 16"" 2.5K 120Hz PC",Xiaomi,13847.19,1384.72,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012206573159.html,2026-05-13,milieu_de_gamme
"2026 New 15.6"" Ultra Slim Laptop Intel i7 11th Gen NVIDIA MX450 Gaming Notebook for 3D Modeling Design Student Business",Other,7253.79,725.38,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005012108787602.html,2026-05-13,milieu_de_gamme
"11.6-inch laptop, 4GB of RAM, 64GB of internal storage, supports TF memory cards up to 512GB, supports SSD，Bluetooth,WIFI",Other,2768.83,276.88,MAD,aliexpress,4.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005010383001803.html,2026-05-13,bas_de_gamme
"NEW Xiaomi Notebook REDMI Book 14 2026 Laptop Ultra5-125H/16G/512 Starlight Silver Intel Arc Graphics 14 ""2.8K Screen PC MI",Xiaomi,12244.42,1224.44,MAD,aliexpress,16.0,,electronics,laptop,https://www.aliexpress.com/item/1005012201275326.html,2026-05-13,milieu_de_gamme
OneXPlayer X1 Air 3 In 1 Handheld Gaming Laptop Intel Ultra 7 258 Gen Portable Pocket PC RGB High Refresh Screen Game Notebook,Other,33571.45,3357.14,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005012143012308.html,2026-05-13,haut_de_gamme
360° Rotating 14.0'' IPS Touch Screen 32G 128G-1T N95 Windows 11 Notebook 4 In 1 Business Office Slim LAPTOP Touch ID,Other,4515.91,451.59,MAD,aliexpress,32.0,128.0,electronics,laptop,https://www.aliexpress.com/item/1005006813279365.html,2026-05-13,bas_de_gamme
Lenovo Gaming Laptop LEGION Y9000P 2025 Supreme Edition AI Yuanqi 16-inch 240Hz Ultra9-275HX 32GB+1TB RTX5080 Gaming Notebook PC,Lenovo,45362.04,4536.2,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005009437218184.html,2026-05-13,haut_de_gamme
"Lenovo Xiaoxin Pro 16 GT 2026 Ai Laptop 16"" 2.8K OLED Ryzen AI 9 H 465 32GB 1TB Thin & Light Notebook",Lenovo,15595.42,1559.54,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012189957334.html,2026-05-13,milieu_de_gamme
GLF-S2 Dual Screen Laptop Intel i3 1215U 10.9+10.95 Inch Touchscreen mini PC WIFI 6 180° flip Win11 Hide touchpad Office Laptops,HP,3826.94,382.69,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005011607515829.html,2026-05-13,bas_de_gamme
AMD Ryzen R5 R7 Slim Gaming Laptop 15.6 Inch IPS Laptops Portable notbook computer pc Windows11 Fingerprint cheap price deal,Other,6500.33,650.03,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005009402851505.html,2026-05-13,bas_de_gamme
Mini Laptop IPS Touch Screen Intel N95 CPU 16GB+1TB Netbook PC,Other,3534.36,353.44,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005009102601643.html,2026-05-13,bas_de_gamme
Lenovo LEGION R7000P 2025 R9 8945 HX R9 8940 HX RTX 5070 5060 8G 16inch 2.5K 240Hz Gaming Laptop,Lenovo,18215.98,1821.6,MAD,aliexpress,8.0,,electronics,laptop,https://www.aliexpress.com/item/1005012138634694.html,2026-05-13,haut_de_gamme
DR-AZ Gaming Laptop Intel Core i7-13620H 16'' 64GB 2TB computer 1920*1200 5000 mAh Win 11 1920x1200 Fingerprint backlit Laptop,Other,6349.25,634.92,MAD,aliexpress,64.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005009843539434.html,2026-05-13,bas_de_gamme
Honor MagicBook Pro 16 2026 16-inch 3K 165Hz 3rd Gen Intel® Core™ Ultra U5-338H/Ultra X7-358H/Ultra X9-388H 32GB 1TB/2TB Laptop,Honor,17395.2,1739.52,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005012232796911.html,2026-05-13,haut_de_gamme
2026 New Honor X14 Plus Laptop 14-inch Ultra5 325 16G 1T HD Eye Protection Screen Thin and Light Laptop Starry Gray,Honor,16749.5,1674.95,MAD,aliexpress,16.0,,electronics,laptop,https://www.aliexpress.com/item/1005012241975900.html,2026-05-13,milieu_de_gamme
"Green 2025 New 11"" Touch Screen Intel Celeron N100 4 Core 4 Thread 3.4GHz Laptop PC Cheap Win 11 Laptops Computer For Business",Other,3492.11,349.21,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008863812923.html,2026-05-13,bas_de_gamme
2025 New Acer Nitro 7 Gaming Laptop 16 Inch 2.5K 240Hz Screen Notebook Intel i7-14650HX 32GB 1TB RTX5060 Netbook Computer PC,Acer,15684.53,1568.45,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011656940093.html,2026-05-13,milieu_de_gamme
2026 NEW Xiaomi Book Pro 14 Laptop U5-325/U-338H/U7-358H 32GB 1TB Notebook PC,Xiaomi,18193.36,1819.34,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011906575342.html,2026-05-13,haut_de_gamme
2025 Acer ordinary Go Air Laptop 14 Inch 2.2K 60Hz IPS Screen Netbook i5-13420H 32GB 1TB Notebook With Intel UHD Graphics,Acer,8391.73,839.17,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012240800572.html,2026-05-13,milieu_de_gamme
Lenovo ThinkBook 14+ 2026 R7 H 255/AI 7 H 450 32G 1TB 14.5'' 3K 120Hz,Lenovo,15685.04,1568.5,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005010256385286.html,2026-05-13,milieu_de_gamme
"10.95-inch 2-in-1 Laptop, 12th Gen Intel Core i5-1250P, Touch Screen, Type-C Charging Port, Windows 11 – Slim & Lightweight",Other,5496.09,549.61,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005009511932959.html,2026-05-13,bas_de_gamme
2024 Xiaomi Redmi Book Pro 14 Laptop 14 Inch 2.8K 120Hz Ultra Retina Screen Notebook Ultra 5-125H 16GB 512GB Intel ARC Graphics,Xiaomi,8527.71,852.77,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011681460679.html,2026-05-13,milieu_de_gamme
2026 MSI Raider 16 Max HX Gaming Laptop 16 Inch 2.5K 240Hz IPS Screen Netbook Ultra 9-285HX 32GB 1TB RTX5070Ti Notebook Computer,MSI,37022.06,3702.21,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012092805472.html,2026-05-13,haut_de_gamme
2024 HUAWEI MateBook X Pro Laptop Inter Core Ultra9 185H/Ultra7 155H 32/16GB 2/1TB Netbook 14.2inch 3.1k Touchscreen 120Hz OLED,Huawei,22258.02,2225.8,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005006843407588.html,2026-05-13,haut_de_gamme
2023 HUAWEI MateBook 14 Laptop 14-inch 2K Touchscreen i5-1340P/i7-1360P 16GB/32GB 512GB/1T Computer Netbook Iris Xe Graphics SSD,Huawei,9822.2,982.22,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011906726641.html,2026-05-13,milieu_de_gamme
Lenovo Xiaoxin 13 Air 2025 Laptop AMD R7 7735HS Integrated Graphics 16GB 512GB 13.3inch 100% sRGB Screen Thin and Light Laptop,Lenovo,9091.9,909.19,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011616701193.html,2026-05-13,milieu_de_gamme
2024 Acer ordinary Go Princess Laptop 14 Inch 2.8K 120Hz IPS Screen Netbook i5-13420H 16GB 1TB Notebook With Intel lris Xe,Acer,7421.66,742.17,MAD,aliexpress,16.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005011599928079.html,2026-05-13,milieu_de_gamme
2025 Acer Predator Helios 9 Neo S Gaming Laptop 16 Inch 2.5K OLED 240Hz Screen Notebook Ultra 9-275HX 32GB 2TB RTX5070 Netbook,Acer,19856.04,1985.6,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005011666988455.html,2026-05-13,haut_de_gamme
2025 Xiaomi REDMI Book 14 Laptop 14 Inch FHD 60Hz Screen Notebook i5-13420H 16GB 512GB Netbook Computer With Intel UHD Graphics,Xiaomi,6914.3,691.43,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011682286826.html,2026-05-13,milieu_de_gamme
2025 Acer Nitro 7 Gaming Laptop 16 Inch 2.5K 240Hz Screen Notebook Intel Core Ultra 9-275HX 32GB 1TB RTX5060 Netbook Computer PC,Acer,17757.6,1775.76,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012246261097.html,2026-05-13,haut_de_gamme
12th Generation Mini Laptop Intel N95 Quad-Core 8-inch Touch Screen Type-C Charging Port for Office and Entertainment Portable,Other,4322.25,432.22,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008627449209.html,2026-05-13,bas_de_gamme
Xiaomi Laptop REDMI Book Pro 16 2026 Ultra5-338H/UltraX7-358H/32GB+1TB 16inch 3.2K 165Hz Screen,Xiaomi,16094.21,1609.42,MAD,aliexpress,32.0,1024.0,electronics,laptop,https://www.aliexpress.com/item/1005012170698498.html,2026-05-13,milieu_de_gamme
New AMD Ryzen AI Max+395 One XPlayer Super X 14-Inch 2.8K AMOLED 60/120HZ display Gaming tablet-laptop hybrid Fingerprint unlock,Other,29942.36,2994.24,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005011574754184.html,2026-05-13,haut_de_gamme
"2026 NAIWO 14.1"" Ultra Slim Laptop Intel 4405U IPS Office Computer 16GB DDR3 1TB 2TB SSD Study Laptop M.2 Windows 11 Notebook PC",Other,2602.93,260.29,MAD,aliexpress,16.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005011990071645.html,2026-05-13,bas_de_gamme
CRELANDER Mini Laptops 14 Inch 2240*1440 Double Touch Screen Intel Processor Foldable Tablet PC Windows11 Dual Screen Laptop,Other,5142.04,514.2,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005007766607257.html,2026-05-13,bas_de_gamme
2026 Xiaomi REDMI Book Pro 16 Laptop 16inch 3.2K 165Hz Screen Netbook Ultra 5/Ultra X7 24G/32G+1T Notebook With Intel Graphics,Xiaomi,14039.09,1403.91,MAD,aliexpress,24.0,,electronics,laptop,https://www.aliexpress.com/item/1005012249649136.html,2026-05-13,milieu_de_gamme
2024 HUAWEI MateBook GT 14 Laptop Ultra 9-185H/Ultra 7-155/Ultra 5-125 Notebook 14.2-inch 2.8K OLED Touchscreen 140W Hi GT Cube,Huawei,14131.86,1413.19,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005010740081461.html,2026-05-13,milieu_de_gamme
2022 HUAWEI MateBook D 14 Laptop 14 Inch Screen Notebook i5-1240P/i7-1260P 16GB 512GB Netbook With Iris Xe Graphics Card,Huawei,7949.6,794.96,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005009086188054.html,2026-05-13,milieu_de_gamme
Honor Laptop MagicBook Art 14 2025 14.6-inch OLED touchscreen 2nd Gen Core Ultra5/Ultra7 32GB 1TB/2TB 120Hz 3.1K Laptop,Honor,19547.05,1954.7,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005010131696284.html,2026-05-13,haut_de_gamme
Honor MagicBook Pro 14 2026 14.6-inch 3.1K OLED Touchscreen Ultra U5-338H/Ultra X7-358H/Ultra X9-388H 32GB 1TB/2TB Laptop,Honor,17047.3,1704.73,MAD,aliexpress,32.0,2048.0,electronics,laptop,https://www.aliexpress.com/item/1005012240752681.html,2026-05-13,milieu_de_gamme
2023 HUAWEI MateBook 13s i5-12500H/i7-12700H 16GB 512GB 13.4-inch 2.5K 90Hz Touchscreens SSD Intel Iris Xe Graphics WiFi6,Huawei,11952.24,1195.22,MAD,aliexpress,16.0,512.0,electronics,laptop,https://www.aliexpress.com/item/1005011773260307.html,2026-05-13,milieu_de_gamme
2026 Xiaomi REDMI Book Pro 14 Laptop 14inch 2.8K 120Hz Screen Netbook Ultra 5/Ultra X7 24G/32G+1T Notebook With Intel Graphics,Xiaomi,13679.58,1367.96,MAD,aliexpress,24.0,,electronics,laptop,https://www.aliexpress.com/item/1005012252714998.html,2026-05-13,milieu_de_gamme
"New HONOR 1kg Laptop MagicBook Art 14 2024 14.6""Inch 3.1K 120Hz OLED Touchscreen Intel Ultra 5 7 Computer PC Notebook Ultrabook",Honor,13751.69,1375.17,MAD,aliexpress,,,electronics,laptop,https://www.aliexpress.com/item/1005008405353863.html,2026-05-13,milieu_de_gamme
